ID,BasinID,Lat,Long,Rainfed croplands,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%),Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) ,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m),Closed (>40%) broadleaved deciduous forest (>5m),Open (15-40%) broadleaved deciduous forest/woodland (>5m),Open (15-40%) needleleaved deciduous or evergreen forest (>5m),Mosaic forest or shrubland (50-70%) / grassland (20-50%),Mosaic grassland (50-70%) / forest or shrubland (20-50%) ,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)","Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)",Sparse (<15%) vegetation,"Closed to open (>15%) grassland or woody vegetation on regularly flooded or waterlogged soil - Fresh, brackish or saline water",Bare areas,Water bodies
151,151,-10.23,32.83,0.000,0.000,0.156,0.000,0.137,0.459,0.000,0.001,0.001,0.244,0.002,0.000,0.000,0.000,0.000
152,152,-10.25,32.7,0.000,0.000,0.195,0.000,0.171,0.388,0.000,0.000,0.000,0.245,0.001,0.000,0.000,0.000,0.000
153,153,-10.25,33.15,0.001,0.001,0.158,0.000,0.468,0.319,0.000,0.000,0.000,0.052,0.001,0.000,0.000,0.000,0.000
154,154,-10.96,33.1,0.000,0.000,0.261,0.000,0.128,0.361,0.001,0.000,0.002,0.209,0.007,0.000,0.033,0.000,0.000
155,155,-10.72,33.14,0.000,0.000,0.374,0.000,0.112,0.242,0.001,0.022,0.003,0.200,0.048,0.000,0.000,0.000,0.000
156,156,-10.62,33.26,0.000,0.000,0.183,0.000,0.263,0.417,0.000,0.010,0.001,0.110,0.016,0.000,0.000,0.000,0.000
157,157,-10.36,33.48,0.000,0.000,0.413,0.000,0.094,0.336,0.000,0.000,0.000,0.156,0.000,0.000,0.000,0.000,0.000
158,158,-10.38,33.36,0.000,0.000,0.374,0.000,0.100,0.417,0.000,0.000,0.000,0.109,0.000,0.000,0.000,0.000,0.000
159,159,-12.28,32.69,0.000,0.000,0.271,0.000,0.004,0.475,0.000,0.004,0.000,0.245,0.002,0.000,0.000,0.000,0.000
160,160,-12.16,32.72,0.000,0.000,0.176,0.000,0.020,0.625,0.000,0.000,0.000,0.178,0.001,0.000,0.000,0.000,0.000
161,161,-12.27,33.01,0.000,0.000,0.586,0.000,0.005,0.209,0.000,0.000,0.007,0.179,0.016,0.000,0.000,0.000,0.000
162,162,-12.16,33.1,0.000,0.000,0.670,0.000,0.009,0.152,0.000,0.000,0.014,0.121,0.033,0.000,0.000,0.000,0.001
163,163,-12.47,33.17,0.000,0.000,0.506,0.000,0.010,0.110,0.000,0.002,0.078,0.184,0.110,0.000,0.000,0.000,0.000
164,164,-14.06,32.89,0.000,0.000,0.086,0.000,0.315,0.415,0.000,0.000,0.005,0.171,0.009,0.000,0.000,0.000,0.000
165,165,-13.96,32.67,0.000,0.000,0.150,0.000,0.277,0.344,0.000,0.001,0.006,0.206,0.016,0.000,0.000,0.000,0.000
166,166,-14.07,32.34,0.000,0.000,0.499,0.000,0.016,0.084,0.000,0.004,0.068,0.174,0.155,0.000,0.000,0.000,0.000
167,167,-14.27,31.86,0.000,0.000,0.556,0.000,0.001,0.024,0.000,0.015,0.013,0.278,0.113,0.000,0.000,0.000,0.001
168,168,-14.17,31.99,0.000,0.000,0.351,0.000,0.000,0.058,0.000,0.006,0.004,0.490,0.092,0.000,0.000,0.000,0.000
169,169,-14.3,32.12,0.000,0.000,0.623,0.000,0.001,0.024,0.000,0.001,0.027,0.192,0.132,0.000,0.000,0.000,0.000
170,170,-14.02,31.71,0.000,0.000,0.423,0.000,0.006,0.151,0.000,0.003,0.010,0.323,0.085,0.000,0.000,0.000,0.000
171,171,-14.13,32.15,0.000,0.000,0.525,0.000,0.044,0.128,0.000,0.001,0.029,0.152,0.122,0.000,0.000,0.000,0.000
172,172,-14.1,32.24,0.000,0.000,0.457,0.000,0.019,0.048,0.000,0.001,0.056,0.105,0.314,0.000,0.000,0.000,0.000
173,173,-14.04,32.56,0.000,0.000,0.169,0.000,0.125,0.394,0.000,0.000,0.010,0.278,0.025,0.000,0.000,0.000,0.000
174,174,-13.87,32.85,0.000,0.000,0.188,0.000,0.247,0.317,0.000,0.005,0.010,0.215,0.019,0.000,0.000,0.000,0.000
175,175,-13.55,32.86,0.000,0.000,0.241,0.000,0.125,0.185,0.000,0.072,0.028,0.206,0.143,0.000,0.000,0.000,0.000
176,176,-13.65,32.96,0.000,0.000,0.334,0.000,0.029,0.124,0.000,0.051,0.041,0.332,0.089,0.000,0.000,0.000,0.000
177,177,-12.52,32.86,0.000,0.000,0.261,0.000,0.059,0.506,0.000,0.000,0.001,0.166,0.007,0.000,0.000,0.000,0.000
178,178,-12.29,32.88,0.000,0.000,0.257,0.000,0.001,0.573,0.000,0.000,0.000,0.169,0.002,0.000,0.000,0.000,0.000
179,179,-12.47,32.91,0.000,0.000,0.394,0.000,0.014,0.287,0.000,0.000,0.004,0.291,0.010,0.000,0.000,0.000,0.000
180,180,-12.46,33,0.000,0.000,0.526,0.000,0.002,0.128,0.000,0.005,0.028,0.251,0.060,0.000,0.000,0.000,0.000
181,181,-12.01,33.14,0.000,0.000,0.557,0.000,0.005,0.229,0.000,0.001,0.027,0.139,0.040,0.000,0.000,0.000,0.000
182,182,-11.91,33.23,0.000,0.000,0.485,0.000,0.027,0.310,0.000,0.001,0.019,0.133,0.025,0.000,0.000,0.000,0.001
183,183,-11.31,32.48,0.000,0.000,0.094,0.000,0.215,0.533,0.000,0.000,0.000,0.157,0.001,0.000,0.000,0.000,0.000
184,184,-11.25,32.21,0.000,0.000,0.001,0.000,0.365,0.270,0.000,0.000,0.000,0.364,0.000,0.000,0.000,0.000,0.000
185,185,-11.45,32.12,0.000,0.000,0.000,0.000,0.429,0.203,0.000,0.000,0.000,0.368,0.000,0.000,0.000,0.000,0.000
186,186,-11.19,32.1,0.000,0.000,0.009,0.000,0.194,0.533,0.000,0.000,0.000,0.263,0.000,0.000,0.000,0.000,0.000
187,187,-11.23,32.37,0.000,0.000,0.054,0.000,0.498,0.196,0.000,0.000,0.000,0.253,0.000,0.000,0.000,0.000,0.000
188,188,-10.65,32.43,0.000,0.000,0.030,0.000,0.259,0.297,0.000,0.000,0.000,0.414,0.000,0.000,0.000,0.000,0.000
189,189,-10.44,33.1,0.000,0.000,0.246,0.000,0.334,0.315,0.002,0.000,0.004,0.070,0.030,0.000,0.000,0.000,0.000
190,190,-13,31.45,0.002,0.000,0.004,0.000,0.456,0.421,0.007,0.000,0.000,0.110,0.000,0.000,0.000,0.000,0.000
191,191,-13.74,31.61,0.000,0.000,0.046,0.000,0.100,0.664,0.000,0.012,0.000,0.170,0.008,0.000,0.000,0.000,0.000
192,192,-13.56,32.34,0.000,0.000,0.237,0.000,0.057,0.288,0.000,0.007,0.024,0.362,0.026,0.000,0.000,0.000,0.000
193,193,-13.75,32.64,0.000,0.000,0.392,0.000,0.027,0.145,0.000,0.020,0.029,0.288,0.097,0.000,0.000,0.000,0.002
194,194,-13.96,32.44,0.000,0.000,0.348,0.000,0.010,0.157,0.000,0.006,0.045,0.324,0.110,0.000,0.000,0.000,0.000
195,195,-13.53,31.96,0.000,0.000,0.083,0.000,0.032,0.701,0.000,0.001,0.000,0.183,0.001,0.000,0.000,0.000,0.000
196,196,-13.21,32.24,0.000,0.000,0.071,0.000,0.098,0.665,0.000,0.004,0.008,0.150,0.006,0.000,0.000,0.000,0.000
197,197,-13.33,32.35,0.000,0.000,0.101,0.000,0.115,0.629,0.000,0.000,0.000,0.156,0.000,0.000,0.000,0.000,0.000
198,198,-12.82,32.13,0.000,0.000,0.121,0.000,0.015,0.394,0.000,0.029,0.016,0.290,0.118,0.001,0.000,0.000,0.017
199,199,-12.79,32.07,0.000,0.000,0.123,0.000,0.006,0.351,0.000,0.024,0.014,0.215,0.239,0.008,0.000,0.000,0.020
200,200,-12.66,31.84,0.000,0.000,0.161,0.000,0.201,0.316,0.000,0.011,0.001,0.220,0.091,0.000,0.000,0.000,0.000
201,201,-12.8,31.82,0.000,0.000,0.190,0.000,0.179,0.345,0.000,0.003,0.003,0.200,0.080,0.000,0.000,0.000,0.000
202,202,-12.45,31.63,0.000,0.000,0.083,0.000,0.398,0.307,0.000,0.000,0.000,0.206,0.005,0.000,0.000,0.000,0.000
203,203,-12.35,31.28,0.001,0.000,0.008,0.000,0.287,0.203,0.000,0.000,0.000,0.501,0.000,0.000,0.000,0.000,0.000
204,204,-12.1,31.74,0.000,0.000,0.048,0.000,0.427,0.442,0.000,0.000,0.000,0.083,0.000,0.000,0.000,0.000,0.000
205,205,-11.6,31.77,0.000,0.000,0.004,0.000,0.230,0.533,0.000,0.000,0.000,0.233,0.000,0.000,0.000,0.000,0.000
206,206,-11.28,31.95,0.000,0.000,0.012,0.000,0.052,0.668,0.000,0.000,0.000,0.269,0.000,0.000,0.000,0.000,0.000
207,207,-11.43,32.6,0.000,0.000,0.109,0.000,0.103,0.605,0.000,0.001,0.000,0.182,0.000,0.000,0.000,0.000,0.000
208,208,-10.91,32.89,0.000,0.000,0.343,0.000,0.010,0.517,0.000,0.002,0.002,0.120,0.006,0.000,0.000,0.000,0.000
209,209,-10.81,32.5,0.000,0.000,0.011,0.000,0.384,0.034,0.000,0.000,0.000,0.571,0.000,0.000,0.000,0.000,0.000
210,210,-10.96,32.4,0.000,0.000,0.020,0.000,0.228,0.624,0.000,0.000,0.000,0.129,0.000,0.000,0.000,0.000,0.000
211,211,-10.86,32.33,0.000,0.000,0.010,0.000,0.222,0.470,0.000,0.000,0.000,0.298,0.000,0.000,0.000,0.000,0.000
212,212,-11,32.23,0.000,0.000,0.054,0.000,0.087,0.795,0.000,0.000,0.000,0.063,0.000,0.000,0.000,0.000,0.000
213,213,-10.98,32.11,0.000,0.000,0.045,0.000,0.036,0.673,0.000,0.000,0.000,0.246,0.001,0.000,0.000,0.000,0.000
214,214,-10.81,32.13,0.000,0.000,0.051,0.000,0.034,0.685,0.000,0.000,0.000,0.229,0.000,0.000,0.000,0.000,0.000
215,215,-10.7,32.21,0.000,0.000,0.057,0.000,0.108,0.694,0.000,0.000,0.000,0.141,0.000,0.000,0.000,0.000,0.000
216,216,-12.04,32.83,0.000,0.000,0.206,0.000,0.052,0.612,0.000,0.000,0.003,0.121,0.005,0.000,0.000,0.000,0.000
217,217,-12.35,33.35,0.000,0.000,0.740,0.000,0.003,0.048,0.000,0.001,0.034,0.119,0.053,0.000,0.000,0.000,0.001
218,218,-13.44,31.19,0.001,0.000,0.163,0.000,0.290,0.341,0.001,0.000,0.000,0.202,0.004,0.000,0.000,0.000,0.000
219,219,-14.19,30.34,0.000,0.000,0.075,0.000,0.135,0.521,0.000,0.009,0.001,0.254,0.006,0.000,0.000,0.000,0.000
220,220,-13.94,30.5,0.000,0.000,0.087,0.000,0.135,0.422,0.000,0.025,0.000,0.249,0.083,0.000,0.000,0.000,0.000
221,221,-13.72,30.4,0.000,0.000,0.005,0.000,0.505,0.180,0.000,0.001,0.000,0.300,0.010,0.000,0.000,0.000,0.000
222,222,-13.78,30.56,0.000,0.000,0.027,0.000,0.246,0.397,0.000,0.007,0.000,0.289,0.034,0.000,0.000,0.000,0.000
223,223,-13.62,30.66,0.000,0.000,0.024,0.000,0.286,0.443,0.000,0.002,0.000,0.230,0.015,0.000,0.000,0.000,0.000
224,224,-13.55,30.81,0.000,0.000,0.009,0.000,0.319,0.449,0.000,0.000,0.000,0.222,0.002,0.000,0.000,0.000,0.000
225,225,-13.7,30.54,0.000,0.000,0.004,0.000,0.467,0.393,0.000,0.000,0.000,0.131,0.004,0.000,0.000,0.000,0.000
226,226,-13.41,30.54,0.000,0.000,0.001,0.000,0.439,0.253,0.000,0.000,0.000,0.307,0.000,0.000,0.000,0.000,0.000
227,227,-13.32,30.63,0.000,0.000,0.001,0.000,0.362,0.377,0.000,0.000,0.000,0.260,0.000,0.000,0.000,0.000,0.000
228,228,-13.37,30.83,0.000,0.000,0.004,0.000,0.627,0.132,0.000,0.000,0.000,0.238,0.000,0.000,0.000,0.000,0.000
229,229,-13.45,30.3,0.000,0.000,0.002,0.000,0.112,0.665,0.000,0.000,0.000,0.220,0.001,0.000,0.000,0.000,0.000
230,230,-13.22,30.42,0.000,0.000,0.003,0.000,0.179,0.575,0.000,0.000,0.000,0.242,0.001,0.000,0.000,0.000,0.000
231,231,-13.55,30.38,0.000,0.000,0.000,0.000,0.289,0.583,0.000,0.000,0.000,0.129,0.000,0.000,0.000,0.000,0.000
232,232,-13.18,30.72,0.000,0.000,0.006,0.000,0.157,0.541,0.000,0.000,0.001,0.293,0.003,0.000,0.000,0.000,0.000
233,233,-11.92,31.26,0.000,0.001,0.106,0.000,0.100,0.612,0.000,0.014,0.007,0.156,0.005,0.000,0.000,0.000,0.000
234,234,-11.93,31.37,0.001,0.000,0.160,0.000,0.049,0.420,0.000,0.001,0.001,0.335,0.035,0.000,0.000,0.000,0.000
235,235,-12.17,31.17,0.000,0.000,0.023,0.000,0.130,0.536,0.000,0.007,0.003,0.295,0.006,0.000,0.000,0.000,0.000
236,236,-11.16,31.73,0.000,0.000,0.009,0.000,0.099,0.605,0.000,0.007,0.001,0.264,0.008,0.000,0.000,0.000,0.008
237,237,-11.37,31.6,0.000,0.000,0.000,0.000,0.198,0.320,0.000,0.000,0.000,0.482,0.000,0.000,0.000,0.000,0.000
238,238,-11.41,31.71,0.000,0.000,0.005,0.000,0.130,0.606,0.000,0.000,0.000,0.259,0.000,0.000,0.000,0.000,0.000
239,239,-11.49,31.47,0.000,0.000,0.025,0.000,0.252,0.517,0.000,0.001,0.000,0.205,0.001,0.000,0.000,0.000,0.000
240,240,-12.42,31,0.000,0.000,0.006,0.000,0.159,0.374,0.000,0.001,0.001,0.457,0.002,0.000,0.000,0.000,0.000
241,241,-12.45,31.19,0.000,0.000,0.002,0.000,0.196,0.417,0.000,0.001,0.001,0.380,0.003,0.000,0.000,0.000,0.000
242,242,-12.82,31.02,0.000,0.000,0.001,0.000,0.048,0.711,0.000,0.001,0.001,0.238,0.001,0.000,0.000,0.000,0.000
243,243,-12.98,30.67,0.000,0.000,0.018,0.000,0.115,0.572,0.000,0.001,0.000,0.187,0.019,0.000,0.000,0.000,0.090
244,244,-13,30.54,0.000,0.000,0.004,0.000,0.159,0.604,0.000,0.000,0.000,0.231,0.002,0.000,0.000,0.000,0.000
245,245,-13.51,32.14,0.000,0.000,0.077,0.000,0.031,0.580,0.000,0.012,0.004,0.289,0.008,0.000,0.000,0.000,0.000
246,246,-13.71,32.31,0.000,0.000,0.317,0.000,0.001,0.115,0.000,0.030,0.033,0.408,0.097,0.000,0.000,0.000,0.000
247,247,-13.74,31.42,0.000,0.000,0.115,0.000,0.017,0.555,0.000,0.027,0.005,0.265,0.017,0.000,0.000,0.000,0.000
248,248,-14.14,31.29,0.000,0.000,0.167,0.000,0.003,0.191,0.000,0.003,0.000,0.619,0.017,0.000,0.000,0.000,0.000
249,249,-12.49,32.35,0.000,0.000,0.430,0.000,0.006,0.286,0.000,0.006,0.002,0.220,0.050,0.000,0.000,0.000,0.000
250,250,-12.58,32.79,0.000,0.000,0.101,0.000,0.213,0.550,0.000,0.000,0.001,0.131,0.004,0.000,0.000,0.000,0.000
251,251,-14,30.36,0.000,0.000,0.027,0.000,0.192,0.492,0.000,0.007,0.000,0.248,0.034,0.000,0.000,0.000,0.000
252,252,-13.32,30.18,0.000,0.000,0.014,0.000,0.102,0.524,0.000,0.000,0.000,0.358,0.002,0.000,0.000,0.000,0.000
253,253,-12.48,33.34,0.000,0.000,0.524,0.000,0.015,0.045,0.000,0.010,0.063,0.139,0.206,0.000,0.000,0.000,0.000
254,254,-11.64,31.45,0.000,0.000,0.033,0.000,0.040,0.667,0.000,0.000,0.000,0.260,0.000,0.000,0.000,0.000,0.000
255,255,-11.73,31.5,0.000,0.000,0.184,0.000,0.094,0.410,0.000,0.000,0.003,0.257,0.052,0.000,0.000,0.000,0.000
256,256,-11.8,32.46,0.000,0.000,0.369,0.000,0.001,0.233,0.000,0.028,0.010,0.145,0.204,0.000,0.000,0.000,0.010
257,257,-11.62,32.4,0.000,0.000,0.434,0.000,0.088,0.290,0.000,0.004,0.002,0.100,0.080,0.000,0.000,0.000,0.004
258,258,-10.03,33.08,0.000,0.000,0.046,0.000,0.507,0.287,0.000,0.002,0.000,0.156,0.002,0.000,0.000,0.000,0.000
259,259,-10.09,32.86,0.000,0.000,0.064,0.000,0.316,0.407,0.000,0.000,0.000,0.213,0.001,0.000,0.000,0.000,0.000
260,260,-9.81,33,0.000,0.000,0.178,0.000,0.185,0.481,0.000,0.000,0.000,0.156,0.000,0.000,0.000,0.000,0.000
261,261,-9.89,33.22,0.000,0.000,0.485,0.000,0.131,0.301,0.000,0.001,0.000,0.075,0.008,0.000,0.000,0.000,0.000
262,262,-10.12,33.26,0.000,0.000,0.218,0.000,0.371,0.363,0.000,0.000,0.000,0.049,0.000,0.000,0.000,0.000,0.000
263,263,-9.73,33.17,0.000,0.000,0.685,0.000,0.051,0.187,0.000,0.000,0.002,0.072,0.003,0.000,0.000,0.000,0.000
264,264,-9.85,32.83,0.000,0.000,0.332,0.000,0.107,0.416,0.000,0.000,0.001,0.144,0.000,0.000,0.000,0.000,0.000
265,265,-10.72,33.45,0.002,0.000,0.113,0.001,0.420,0.413,0.001,0.000,0.000,0.051,0.000,0.000,0.000,0.000,0.000
266,266,-10.58,33.49,0.000,0.000,0.151,0.000,0.376,0.455,0.000,0.000,0.000,0.017,0.000,0.000,0.000,0.000,0.000
