ID,BasinID,Lat,Long,Rainfed croplands,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%),Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) ,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m),Closed (>40%) broadleaved deciduous forest (>5m),Open (15-40%) broadleaved deciduous forest/woodland (>5m),Open (15-40%) needleleaved deciduous or evergreen forest (>5m),Mosaic forest or shrubland (50-70%) / grassland (20-50%),Mosaic grassland (50-70%) / forest or shrubland (20-50%) ,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)","Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)",Sparse (<15%) vegetation,"Closed to open (>15%) grassland or woody vegetation on regularly flooded or waterlogged soil - Fresh, brackish or saline water",Bare areas,Water bodies
28,28,-13.15,30.91,0.000,0.000,0.001,0.000,0.075,0.515,0.000,0.000,0.000,0.409,0.000,0.000,0.000,0.000,0.000
29,29,-13.03,30.94,0.000,0.000,0.001,0.000,0.043,0.549,0.000,0.000,0.000,0.392,0.001,0.000,0.000,0.000,0.015
30,30,-13.56,31.49,0.000,0.000,0.517,0.000,0.003,0.204,0.000,0.012,0.007,0.219,0.038,0.000,0.000,0.000,0.000
31,31,-13.38,31.42,0.000,0.000,0.307,0.000,0.002,0.344,0.000,0.016,0.007,0.251,0.023,0.017,0.000,0.001,0.033
32,32,-12.93,31.24,0.002,0.000,0.005,0.000,0.531,0.246,0.013,0.000,0.000,0.202,0.000,0.000,0.000,0.000,0.000
33,33,-12.8,31.41,0.008,0.000,0.016,0.000,0.820,0.046,0.034,0.000,0.000,0.077,0.000,0.000,0.000,0.000,0.000
34,34,-13.23,31.46,0.000,0.000,0.395,0.000,0.033,0.386,0.000,0.003,0.004,0.164,0.015,0.001,0.000,0.000,0.000
35,35,-13.3,31.61,0.000,0.000,0.493,0.000,0.007,0.233,0.000,0.021,0.017,0.157,0.040,0.011,0.000,0.000,0.022
36,36,-13.57,31.59,0.000,0.000,0.312,0.000,0.042,0.380,0.000,0.018,0.016,0.212,0.020,0.000,0.000,0.000,0.001
37,37,-14.04,31.54,0.000,0.000,0.418,0.000,0.001,0.146,0.000,0.010,0.008,0.326,0.090,0.000,0.000,0.000,0.000
