ID	Watershed	UZTWM	UZFWM	UZK	ZPERC	REXP	LZTWM	LZFSM	LZFPM	LZSK	LZPK	PFREE
151	151	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
152	152	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
153	153	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
154	154	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
155	155	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
156	156	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
157	157	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
158	158	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
159	159	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
160	160	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
161	161	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
162	162	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
163	163	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
164	164	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
165	165	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
166	166	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
167	167	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
168	168	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
169	169	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
170	170	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
171	171	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
172	172	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
173	173	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
174	174	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
175	175	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
176	176	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
177	177	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
178	178	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
179	179	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
180	180	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
181	181	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
182	182	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
183	183	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
184	184	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
